,job_name,norm_job_submit_time,ddl,A100,GTX2080Ti,V100,gpu_milli
0,openb-pod-1547,0,inf,2743.0,4667,7057,810
1,openb-pod-1533,0,inf,3934.0,7512,10035,810
2,openb-pod-1460,0,inf,26313.0,47244,67083,160
3,openb-pod-1288,0,inf,28462.0,51340,72734,810
4,openb-pod-1115,0,inf,1205.0,1823,3058,810
5,openb-pod-1814,0,inf,2427.0,3449,6413,160
6,openb-pod-1361,0,inf,1014.0,1853,2614,810
7,openb-pod-1417,0,inf,3843.0,5507,9829,470
8,openb-pod-2008,0,inf,7365.0,13490,19105,320
9,openb-pod-1408,0,inf,1236.0,2229,3251,470
10,openb-pod-2653,0,inf,1070.0,1550,2748,810
11,openb-pod-1793,0,inf,2510.0,4035,6392,110
12,openb-pod-2794,0,2616.0,1230.0,2012,3120,370
13,openb-pod-3162,0,inf,3290.0,5859,7917,470
14,openb-pod-2712,0,inf,397.0,600,1020,810
15,openb-pod-2522,0,inf,2220.0,4130,5379,160
16,openb-pod-2839,0,inf,88.0,170,226,470
17,openb-pod-2340,0,inf,1109.0,1644,2731,470
18,openb-pod-1685,0,inf,15722.0,26205,38092,440
19,openb-pod-1279,0,inf,10165.0,18418,26641,320
20,openb-pod-2918,0,inf,6069.0,11362,15415,320
21,openb-pod-1730,0,inf,9750.0,16777,25345,810
22,openb-pod-2500,0,inf,2100.0,3711,5178,590
23,openb-pod-2961,0,inf,15175.0,26022,37610,810
24,openb-pod-2377,0,inf,21304.0,31252,52451,220
25,openb-pod-1829,0,inf,292.0,439,707,320
26,openb-pod-2950,0,inf,48212.0,85644,125295,160
27,openb-pod-2410,0,inf,2146.0,3810,5175,810
28,openb-pod-2336,0,inf,19735.0,34973,48196,810
29,openb-pod-1601,0,inf,1451.0,2389,3766,650
30,openb-pod-1830,0,inf,2828.0,4476,7170,470
31,openb-pod-3079,0,inf,1904.0,2828,4948,650
32,openb-pod-1997,0,inf,3133.0,5089,8192,810
33,openb-pod-3363,0,inf,12507.0,22247,31306,650
34,openb-pod-1470,0,inf,30.0,53,76,550
35,openb-pod-1838,0,inf,25559.0,44877,66001,320
36,openb-pod-2228,0,inf,4222.0,7497,10677,650
37,openb-pod-2642,0,inf,42576.0,77925,112903,810
38,openb-pod-3046,0,inf,71.0,121,171,810
39,openb-pod-2678,0,inf,5058.0,8451,12178,470
40,openb-pod-3082,0,inf,3212.0,5267,8132,650
